OK,Funny,Ingenious,Longwinded,Persuasive,Courageous,Jaw-dropping,Unconvincing,Inspiring,Informative,Fascinating,Beautiful,Obnoxious,Confusing,url
16,11,28,32,1249,102,38,32,193,141,39,26,22,14,"https://www.ted.com/talks/ngozi_okonjo_iweala_on_aid_versus_trade
"
51,36,310,14,23,348,136,12,1047,70,216,236,14,13,"https://www.ted.com/talks/william_kamkwamba_on_building_a_windmill
"
16,1,31,16,34,8,5,11,119,98,33,6,3,1,"https://www.ted.com/talks/euvin_naidoo_on_investing_in_africa
"
65,5,54,45,183,320,50,29,810,171,115,146,1,3,"https://www.ted.com/talks/patrick_awuah_on_educating_leaders
"
39,140,24,13,28,133,42,16,220,83,102,221,14,13,"https://www.ted.com/talks/chris_abani_on_the_stories_of_africa
"
44,7,47,19,140,126,32,18,412,167,89,87,6,7,"https://www.ted.com/talks/jacqueline_novogratz_on_patient_capitalism
"
18,17,13,10,12,72,32,5,207,15,42,359,3,5,"https://www.ted.com/talks/vusi_mahlasela_sings_thula_mama
"
13,17,24,4,2,10,35,5,71,4,54,210,0,7,"https://www.ted.com/talks/vusi_mahlasela_s_encore_at_tedglobal2007
"
64,40,37,42,83,75,19,31,412,137,91,52,25,7,"https://www.ted.com/talks/jeff_skoll_makes_movies_that_make_change
"
65,26,942,28,87,348,2080,25,1075,310,688,265,25,24,"https://www.ted.com/talks/dean_kamen_previews_a_new_prosthetic_arm
"
104,965,243,83,206,45,41,51,343,557,518,195,40,31,"https://www.ted.com/talks/erin_mckean_redefines_the_dictionary
"
38,52,64,8,1020,240,67,15,251,403,115,25,7,9,"https://www.ted.com/talks/andrew_mwenda_takes_a_new_look_at_africa
"
100,214,1514,37,30,74,2186,67,656,109,1289,631,21,77,"https://www.ted.com/talks/theo_jansen_creates_new_creatures
"
193,100,175,352,150,13,29,91,148,956,476,46,24,206,"https://www.ted.com/talks/steven_pinker_on_language_and_thought
"
161,39,147,116,1739,176,109,242,491,1314,731,48,94,42,"https://www.ted.com/talks/steven_pinker_on_the_myth_of_violence
"
30,3,18,33,51,338,69,72,198,145,65,60,23,25,"https://www.ted.com/talks/deborah_scranton_on_her_war_tapes
"
64,33,24,31,46,56,23,25,167,436,349,55,1,21,"https://www.ted.com/talks/zeresenay_alemseged_looks_for_humanity_s_roots
"
155,643,185,190,45,27,22,168,403,184,269,183,50,145,"https://www.ted.com/talks/john_maeda_on_the_simple_life
"
