ID,Film_Date,Published_Date,Tags_Count
451,02-02-2009,18-05-2009,8
452,12-12-2008,19-05-2009,9
453,06-02-2009,20-05-2009,7
454,06-02-2009,21-05-2009,8
455,06-02-2009,22-05-2009,5
456,05-02-2009,25-05-2009,4
457,05-02-2009,27-05-2009,5
458,04-04-2009,27-05-2009,5
459,06-02-2009,28-05-2009,9
460,01-03-2008,29-05-2009,5
461,07-02-2009,01-06-2009,6
462,07-02-2009,02-06-2009,8
463,04-02-2009,03-06-2009,8
464,27-02-2004,05-06-2009,6
465,05-02-2009,08-06-2009,2
466,06-02-2009,09-06-2009,5
467,06-02-2009,09-06-2009,7
468,02-02-2004,10-06-2009,6
469,05-02-2009,11-06-2009,7
470,06-02-2009,12-06-2009,6
471,23-03-2009,15-06-2009,7
472,03-06-2009,16-06-2009,7
473,06-02-2009,17-06-2009,5
474,06-02-2009,18-06-2009,6
475,23-03-2009,19-06-2009,6
476,06-02-2009,22-06-2009,6
477,06-06-2009,24-06-2009,5
478,10-03-2007,25-06-2009,5
479,06-02-2009,26-06-2009,1
480,05-02-2009,29-06-2009,4
481,06-02-2009,30-06-2009,6
482,06-02-2009,01-07-2009,5
483,02-02-2007,06-07-2009,5
484,06-02-2009,07-07-2009,6
485,06-02-2009,08-07-2009,5
486,05-02-2009,09-07-2009,8
487,03-06-2009,13-07-2009,11
488,06-02-2009,14-07-2009,3
489,06-02-2009,15-07-2009,7
490,05-02-2009,16-07-2009,10
491,05-02-2009,17-07-2009,7
492,21-07-2009,21-07-2009,7
493,21-07-2009,28-07-2009,5
494,20-02-2009,30-07-2009,6
495,22-07-2009,31-07-2009,3
496,21-07-2009,03-08-2009,2
497,22-07-2009,04-08-2009,7
498,22-07-2009,05-08-2009,6
499,22-07-2009,06-08-2009,9
500,23-07-2009,07-08-2009,8
501,24-07-2009,24-08-2009,7
502,23-07-2009,25-08-2009,6
503,04-06-2009,27-08-2009,12
504,06-02-2009,28-08-2009,6
505,23-07-2009,31-08-2009,10
506,23-07-2009,01-09-2009,8
507,24-07-2009,02-09-2009,5
508,23-07-2009,03-09-2009,5
509,22-07-2009,04-09-2009,5
510,23-07-2009,08-09-2009,5
511,09-09-2009,09-09-2009,4
512,22-07-2009,10-09-2009,4
513,09-02-2006,11-09-2009,6
514,23-07-2009,14-09-2009,6
515,23-07-2009,15-09-2009,6
516,23-07-2009,16-09-2009,4
517,05-02-2009,17-09-2009,8
518,22-07-2009,18-09-2009,6
519,22-07-2009,21-09-2009,6
520,23-07-2009,22-09-2009,5
521,23-07-2009,23-09-2009,5
522,23-07-2009,24-09-2009,5
523,03-06-2009,25-09-2009,11
524,23-07-2009,28-09-2009,10
525,22-07-2009,29-09-2009,6
526,24-07-2009,29-09-2009,6
527,23-07-2009,01-10-2009,7
528,23-07-2009,02-10-2009,8
529,22-07-2009,05-10-2009,5
530,23-03-2009,06-10-2009,6
531,23-07-2009,07-10-2009,6
532,23-07-2009,08-10-2009,7
533,24-07-2009,09-10-2009,6
534,22-07-2009,12-10-2009,8
535,04-02-2009,13-10-2009,7
536,23-07-2009,14-10-2009,8
537,23-07-2009,15-10-2009,7
538,21-07-2009,16-10-2009,5
539,20-08-2009,19-10-2009,6
540,23-03-2009,20-10-2009,8
541,24-07-2009,21-10-2009,6
542,24-07-2009,22-10-2009,9
543,23-07-2009,23-10-2009,7
544,23-07-2009,26-10-2009,9
545,24-07-2009,27-10-2009,10
546,23-07-2009,28-10-2009,8
547,24-07-2009,29-10-2009,6
548,23-07-2009,30-10-2009,4
549,25-07-2009,02-11-2009,8
550,21-02-2009,09-11-2009,6
551,24-07-2009,10-11-2009,6
552,21-07-2009,11-11-2009,6
553,07-07-2009,13-11-2009,5
554,05-11-2009,16-11-2009,4
555,23-07-2009,17-11-2009,9
556,21-09-2009,18-11-2009,5
557,05-11-2009,19-11-2009,4
558,23-07-2009,20-11-2009,5
559,04-11-2009,23-11-2009,7
560,24-07-2009,24-11-2009,10
561,24-07-2009,25-11-2009,7
562,04-11-2009,26-11-2009,6
563,07-11-2009,30-11-2009,7
564,22-07-2009,01-12-2009,8
565,22-07-2009,02-12-2009,8
566,06-11-2009,03-12-2009,10
567,11-12-2008,04-12-2009,6
568,05-11-2009,07-12-2009,9
569,24-07-2009,07-12-2009,6
570,09-01-2008,09-12-2009,4
571,05-11-2009,10-12-2009,8
572,12-07-2009,11-12-2009,6
573,15-07-2009,14-12-2009,5
574,06-11-2009,15-12-2009,6
575,05-11-2009,15-12-2009,8
576,05-11-2009,17-12-2009,6
577,24-07-2009,17-12-2009,6
578,05-11-2009,21-12-2009,8
579,22-07-2009,22-12-2009,5
580,06-11-2009,23-12-2009,10
581,01-09-2005,23-12-2009,4
582,07-10-2009,23-12-2009,7
583,24-07-2009,01-01-2010,6
584,05-11-2009,04-01-2010,7
585,24-07-2009,05-01-2010,4
586,02-09-2009,06-01-2010,8
587,05-11-2009,07-01-2010,5
588,06-02-2009,08-01-2010,3
589,18-09-2007,08-01-2010,5
590,08-09-2009,08-01-2010,7
591,14-03-2009,09-01-2010,4
592,06-11-2009,11-01-2010,5
593,06-11-2009,12-01-2010,5
594,09-11-2009,13-01-2010,5
595,13-10-2004,14-01-2010,5
596,03-03-2005,15-01-2010,5
597,27-10-2009,19-01-2010,4
598,06-11-2009,20-01-2010,5
599,21-10-2009,21-01-2010,5
600,06-11-2009,22-01-2010,3
601,20-12-1991,23-01-2010,5
602,12-11-2005,23-01-2010,4
603,25-10-2009,25-01-2010,7
604,10-10-2009,26-01-2010,5
605,06-11-2009,27-01-2010,6
606,05-11-2009,28-01-2010,8
607,06-11-2009,29-01-2010,3
608,05-06-2008,30-01-2010,5
609,04-11-2009,01-02-2010,8
610,10-10-2009,02-02-2010,7
611,28-07-2009,03-02-2010,10
612,10-10-2009,04-02-2010,5
613,05-05-2009,05-02-2010,6
614,30-11-2009,08-02-2010,5
615,20-02-2010,11-02-2010,6
616,11-02-2010,13-02-2010,5
617,10-02-2010,15-02-2010,3
618,10-10-2009,17-02-2010,6
619,12-02-2010,18-02-2010,7
620,20-11-2009,19-02-2010,5
621,13-02-2010,21-02-2010,4
622,10-10-2009,23-02-2010,6
623,10-02-2010,24-02-2010,9
624,05-11-2009,25-02-2010,6
625,12-02-2010,26-02-2010,4
626,10-06-2009,27-02-2010,4
627,10-02-2010,01-03-2010,8
628,11-11-2009,02-03-2010,5
629,02-02-2010,03-03-2010,5
630,09-07-1983,03-03-2010,3
631,12-02-2010,04-03-2010,10
632,02-02-2010,05-03-2010,5
633,05-05-2009,05-03-2010,6
634,10-02-2010,08-03-2010,5
635,02-02-2010,09-03-2010,4
636,10-02-2010,10-03-2010,5
637,10-10-2009,12-03-2010,5
638,20-09-2008,13-03-2010,5
639,02-02-2010,15-03-2010,5
640,11-11-2009,16-03-2010,5
641,16-05-2001,17-03-2010,8
642,12-02-2010,17-03-2010,6
643,10-10-2009,18-03-2010,7
644,11-11-2009,19-03-2010,3
645,11-02-2010,22-03-2010,8
646,02-02-2010,23-03-2010,8
647,11-02-2010,24-03-2010,4
648,20-11-2009,25-03-2010,8
649,10-02-2010,26-03-2010,8
650,09-10-2008,26-03-2010,3
651,12-02-2010,29-03-2010,6
652,06-11-2009,30-03-2010,5
653,11-02-2010,01-04-2010,5
654,11-02-2010,01-04-2010,6
655,13-02-2010,02-04-2010,4
656,18-02-2010,03-04-2010,6
657,12-02-2010,05-04-2010,5
658,26-10-2009,06-04-2010,7
659,10-09-2009,07-04-2010,6
660,11-02-2010,08-04-2010,6
661,12-02-2010,09-04-2010,4
662,11-02-2010,12-04-2010,5
663,11-02-2010,13-04-2010,5
664,13-02-2010,14-04-2010,4
665,10-02-2009,16-04-2010,6
666,11-03-2010,16-04-2010,5
667,09-04-2010,19-04-2010,8
668,02-02-2007,19-04-2010,4
669,11-02-2010,21-04-2010,5
670,14-02-2010,22-04-2010,6
671,10-02-2010,23-04-2010,5
672,05-11-2009,26-04-2010,4
673,12-02-2010,27-04-2010,8
674,08-04-2010,28-04-2010,5
675,13-02-2010,29-04-2010,6
676,10-02-2010,30-04-2010,4
677,12-02-2010,03-05-2010,4
678,17-09-2009,04-05-2010,5
679,09-04-2010,05-05-2010,5
680,06-11-2009,06-05-2010,5
681,10-02-2010,07-05-2010,4
682,12-02-2010,10-05-2010,7
683,12-02-2010,11-05-2010,8
684,10-04-2010,12-05-2010,5
685,06-03-2010,13-05-2010,6
686,12-02-2010,14-05-2010,4
687,14-05-1972,14-05-2010,5
688,10-02-2010,17-05-2010,5
689,10-02-2010,18-05-2010,4
690,10-04-2010,19-05-2010,5
691,10-04-2010,20-05-2010,6
692,21-05-2010,21-05-2010,7
693,06-02-2010,24-05-2010,5
694,13-04-2010,25-05-2010,8
695,10-02-2010,26-05-2010,7
696,05-02-2010,27-05-2010,7
697,23-07-2009,28-05-2010,5
698,10-04-2010,31-05-2010,7
699,11-02-2010,01-06-2010,7
700,16-04-2010,02-06-2010,5
701,12-02-2010,02-06-2010,9
702,19-04-2010,03-06-2010,7
703,13-04-2010,04-06-2010,5
704,11-02-2010,07-06-2010,6
705,10-02-2010,08-06-2010,6
706,19-04-2010,09-06-2010,7
707,12-02-2010,10-06-2010,10
708,12-02-2010,11-06-2010,4
709,10-02-2010,14-06-2010,6
710,10-02-2010,15-06-2010,8
711,15-04-2010,16-06-2010,5
712,13-03-2010,17-06-2010,7
713,12-11-2009,18-06-2010,6
714,12-02-2010,21-06-2010,6
715,12-02-2010,22-06-2010,4
716,25-04-2010,23-06-2010,4
717,11-11-2009,24-06-2010,5
718,12-02-2010,25-06-2010,6
719,22-06-2010,28-06-2010,5
720,26-01-2010,29-06-2010,5
721,10-04-2010,30-06-2010,5
722,11-02-2010,01-07-2010,5
723,12-02-2010,02-07-2010,5
724,12-02-2010,06-07-2010,1
725,07-05-2010,07-07-2010,6
726,11-02-2010,08-07-2010,9
727,21-06-2010,09-07-2010,7
728,28-06-2010,12-07-2010,7
729,13-07-2010,14-07-2010,4
730,14-07-2010,15-07-2010,6
731,14-07-2010,16-07-2010,5
732,16-07-2010,19-07-2010,7
733,13-07-2010,20-07-2010,4
734,15-07-2010,21-07-2010,9
735,16-07-2010,21-07-2010,7
736,11-02-2010,22-07-2010,5
737,15-07-2010,26-07-2010,8
738,28-06-2010,27-07-2010,9
739,15-05-2010,27-07-2010,5
740,14-04-2010,28-07-2010,5
741,16-07-2010,29-07-2010,8
742,15-07-2010,30-07-2010,6
743,09-07-2010,16-08-2010,4
744,15-07-2010,17-08-2010,8
745,02-12-2009,18-08-2010,8
746,09-07-2010,18-08-2010,7
747,15-07-2010,19-08-2010,3
748,16-07-2010,19-08-2010,6
749,29-07-2010,20-08-2010,7
750,09-07-2010,23-08-2010,5
751,14-07-2010,24-08-2010,3
752,19-08-2010,24-08-2010,6
753,12-04-2010,25-08-2010,7
754,28-06-2010,26-08-2010,7
755,15-07-2010,27-08-2010,4
756,16-07-2010,30-08-2010,7
757,16-07-2010,31-08-2010,6
758,04-11-2009,01-09-2010,5
759,15-07-2010,02-09-2010,7
760,15-07-2010,03-09-2010,7
761,15-07-2010,07-09-2010,6
762,06-11-2009,08-09-2010,4
763,10-10-2009,09-09-2010,5
764,26-02-2010,10-09-2010,7
765,08-09-2006,11-09-2010,5
766,15-04-2010,13-09-2010,4
767,15-07-2010,14-09-2010,8
768,15-07-2010,15-09-2010,5
769,21-06-2010,16-09-2010,7
770,09-07-2010,17-09-2010,6
771,09-07-2010,20-09-2010,8
772,15-07-2010,21-09-2010,5
773,15-07-2010,22-09-2010,6
774,15-07-2010,22-09-2010,5
